username,studentCode,assignmentCode
BangHLHSE192937,se192937,105
cuongltse181867,se181867,105
CuongVVSE183671,se183671,105
datntse180026,se180026,105
DucLMSE192044,se192044,105
dungnhse194760,se194760,105
duonglhse184613,se184613,105
duongvnse161416,se161416,105
duyndse180066,se180066,105
duynpse180529,se180529,105
GiangLSE184279,se184279,105
HUNGLTSE181763,se181763,105
huylndse182703,se182703,105
HuyNDSE184016,se184016,105
HuyNGSE184439,se184439,105
HuyTGSE192203,se192203,105
huyttqse183533,se183533,105
khanghbse190926,se190926,105
khanhdnse180587,se180587,105
LamCNSE183387,se183387,105
